Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,17.3,17.3,16.96,17.01,3060900.0,15.62,0.0,15.62,15.62
2014-01-03,2014,1,3,Friday,00,2014-00,17.05,17.22,16.95,17.19,2835500.0,15.79,0.010581885242123334,15.704999999999998,15.704999999999998
2014-01-06,2014,1,6,Monday,01,2014-01,17.12,17.14,16.74,16.95,3835000.0,15.56,-0.013961643331106166,15.656666666666666,15.656666666666666
2014-01-07,2014,1,7,Tuesday,01,2014-01,16.96,17.14,16.62,16.62,5765100.0,15.26,-0.019469003341652025,15.5575,15.5575
2014-01-08,2014,1,8,Wednesday,01,2014-01,16.7,17.13,16.62,17.06,5036300.0,15.67,0.026474303664963283,15.579999999999998,15.579999999999998
2014-01-09,2014,1,9,Thursday,01,2014-01,17.01,17.2,16.94,17.1,2927600.0,15.7,0.0023448747754444277,15.6,15.6
2014-01-10,2014,1,10,Friday,01,2014-01,17.1,17.16,16.89,17.02,2957800.0,15.63,-0.004678596201284746,15.604285714285712,15.604285714285712
2014-01-13,2014,1,13,Monday,02,2014-02,17.0,17.1,16.41,16.59,5468700.0,15.23,-0.025264495428283462,15.5575,15.5575
2014-01-14,2014,1,14,Tuesday,02,2014-02,17.3,17.97,17.1,17.89,6947800.0,16.43,0.07836046957837972,15.654444444444444,15.654444444444444
2014-01-15,2014,1,15,Wednesday,02,2014-02,17.84,18.0,17.66,17.77,3118100.0,16.32,-0.006707733840409236,15.720999999999998,15.720999999999998
2014-01-16,2014,1,16,Thursday,02,2014-02,17.72,17.8,17.53,17.59,2591200.0,16.15,-0.010129547066258238,15.759999999999998,15.759999999999998
2014-01-17,2014,1,17,Friday,02,2014-02,17.56,18.23,17.54,18.01,3705900.0,16.54,0.023877123607563444,15.824999999999998,15.824999999999998
2014-01-21,2014,1,21,Tuesday,03,2014-03,18.04,18.41,18.02,18.22,3974600.0,16.73,0.011660381597391023,15.894615384615381,15.894615384615381
2014-01-22,2014,1,22,Wednesday,03,2014-03,18.26,18.73,18.21,18.51,4873200.0,17.0,0.015916699641207455,15.973571428571427,15.973571428571427
2014-01-23,2014,1,23,Thursday,03,2014-03,18.32,18.83,18.3,18.56,5248700.0,17.04,0.002701216927850414,16.074999999999996,16.044666666666664
2014-01-24,2014,1,24,Friday,03,2014-03,18.44,18.47,17.84,17.96,5626400.0,16.49,-0.032327727784927096,16.124999999999996,16.072499999999998
2014-01-27,2014,1,27,Monday,04,2014-04,17.93,18.33,17.73,18.07,4331000.0,16.59,0.006124733902696189,16.198571428571427,16.102941176470583
2014-01-28,2014,1,28,Tuesday,04,2014-04,17.9,18.17,17.55,18.05,4510700.0,16.58,-0.0011067045744784787,16.29285714285714,16.12944444444444
2014-01-29,2014,1,29,Wednesday,04,2014-04,17.93,18.26,17.73,17.79,3027100.0,16.34,-0.014404365256268203,16.340714285714284,16.14052631578947
2014-01-30,2014,1,30,Thursday,04,2014-04,17.95,18.45,17.95,18.26,2646300.0,16.77,0.026419108970228367,16.417142857142856,16.171999999999993
2014-01-31,2014,1,31,Friday,04,2014-04,17.97,18.14,17.88,17.97,3078800.0,16.5,-0.015881606738393117,16.479285714285716,16.18761904761904
2014-02-03,2014,2,3,Monday,05,2014-05,17.93,18.1,17.36,17.5,4547400.0,16.07,-0.026154826679772536,16.539285714285715,16.18227272727272
2014-02-04,2014,2,4,Tuesday,05,2014-05,17.57,17.66,17.29,17.53,2701900.0,16.1,0.0017144834864795122,16.515714285714285,16.178695652173907
2014-02-05,2014,2,5,Wednesday,05,2014-05,17.45,17.55,17.24,17.37,2311900.0,15.95,-0.009127313775582402,16.489285714285714,16.169166666666662
2014-02-06,2014,2,6,Thursday,05,2014-05,17.37,17.89,17.37,17.78,1652600.0,16.33,0.02360388540004643,16.502142857142857,16.175599999999996
2014-02-07,2014,2,7,Friday,05,2014-05,17.95,18.45,17.9,18.01,2717000.0,16.54,0.012935739057670315,16.502142857142857,16.18961538461538
2014-02-10,2014,2,10,Monday,06,2014-06,17.97,18.31,17.97,18.26,1919200.0,16.77,0.013881280350380054,16.505000000000003,16.211111111111105
2014-02-11,2014,2,11,Tuesday,06,2014-06,18.29,18.76,18.12,18.68,3177200.0,17.15,0.023001245794646907,16.51571428571429,16.244642857142853
2014-02-12,2014,2,12,Wednesday,06,2014-06,18.59,18.77,18.4,18.65,5389700.0,17.2,0.0026880871538454976,16.52714285714286,16.277586206896547
2014-02-13,2014,2,13,Thursday,06,2014-06,18.47,18.56,18.3,18.49,2498300.0,17.05,-0.008579261860110932,16.56714285714286,16.303333333333327
2014-02-14,2014,2,14,Friday,06,2014-06,18.45,18.56,18.35,18.49,1747700.0,17.05,0.0,16.6,16.327419354838707
2014-02-18,2014,2,18,Tuesday,07,2014-07,18.51,18.69,18.24,18.47,3481100.0,17.03,-0.0010817437427259602,16.63214285714286,16.349374999999995
2014-02-19,2014,2,19,Wednesday,07,2014-07,18.47,18.74,18.39,18.59,2125000.0,17.14,0.0064972671256469106,16.689285714285713,16.373333333333328
2014-02-20,2014,2,20,Thursday,07,2014-07,18.58,18.79,18.38,18.69,1651600.0,17.24,0.0053792892912181145,16.722857142857144,16.39882352941176
2014-02-21,2014,2,21,Friday,07,2014-07,18.73,18.74,18.48,18.48,1470400.0,17.04,-0.011235711361196832,16.76142857142857,16.417142857142853
2014-02-24,2014,2,24,Monday,08,2014-08,18.52,18.84,18.5,18.69,1550200.0,17.24,0.011363387098723754,16.845000000000002,16.439999999999994
2014-02-25,2014,2,25,Tuesday,08,2014-08,18.7,19.15,18.66,18.93,2645200.0,17.46,0.012841018490854061,16.94214285714286,16.467567567567563
2014-02-26,2014,2,26,Wednesday,08,2014-08,18.97,19.48,18.95,19.33,1972500.0,17.83,0.021130580623084816,17.076428571428576,16.503421052631577
2014-02-27,2014,2,27,Thursday,08,2014-08,19.22,19.32,18.93,19.15,2328600.0,17.66,-0.009311763415664975,17.171428571428578,16.53307692307692
2014-02-28,2014,2,28,Friday,08,2014-08,19.13,19.41,18.39,18.51,5454100.0,17.07,-0.033420384371680045,17.20928571428572,16.546499999999998
2014-03-03,2014,3,3,Monday,09,2014-09,18.19,18.4,17.8,18.31,3988200.0,16.89,-0.010805409554039302,17.21785714285715,16.554878048780484
2014-03-04,2014,3,4,Tuesday,09,2014-09,18.61,18.83,18.48,18.81,2309100.0,17.35,0.027307644432576827,17.232142857142865,16.573809523809523
2014-03-05,2014,3,5,Wednesday,09,2014-09,18.86,19.05,18.49,18.54,2932400.0,17.1,-0.014353835508851609,17.225000000000005,16.586046511627906
2014-03-06,2014,3,6,Thursday,09,2014-09,18.6,18.6,18.31,18.38,2214600.0,16.95,-0.008630273569576685,17.21785714285715,16.59431818181818
2014-03-07,2014,3,7,Friday,09,2014-09,18.46,18.51,18.28,18.39,1537200.0,16.96,0.0005442776079105371,17.211428571428574,16.602444444444444
2014-03-10,2014,3,10,Monday,10,2014-10,18.34,18.45,18.11,18.32,1651400.0,16.9,-0.003806408702984765,17.202142857142857,16.60891304347826
2014-03-11,2014,3,11,Tuesday,10,2014-10,18.32,18.5,18.04,18.1,1772000.0,16.69,-0.012008805599458161,17.170000000000005,16.61063829787234
2014-03-12,2014,3,12,Wednesday,10,2014-10,17.98,18.16,17.84,18.09,1838600.0,16.68,-0.0005521259706482429,17.130000000000003,16.612083333333334
2014-03-13,2014,3,13,Thursday,10,2014-10,18.12,18.22,17.71,17.78,2251300.0,16.4,-0.017136907534349155,17.084285714285716,16.607755102040816
2014-03-14,2014,3,14,Friday,10,2014-10,17.7,18.02,17.67,17.73,2695700.0,16.35,-0.002811943513133408,17.020714285714288,16.6026
2014-03-17,2014,3,17,Monday,11,2014-11,17.81,18.1,17.8,18.0,2229600.0,16.6,0.015228293167389939,16.959285714285716,16.6222
2014-03-18,2014,3,18,Tuesday,11,2014-11,18.15,18.45,18.13,18.4,3060100.0,16.97,0.022222094556359595,16.89785714285714,16.6458
2014-03-19,2014,3,19,Wednesday,11,2014-11,18.48,18.5,18.11,18.26,4454300.0,16.84,-0.007608568589631215,16.839285714285715,16.671400000000002
2014-03-20,2014,3,20,Thursday,11,2014-11,18.58,18.98,17.62,17.74,8419400.0,16.36,-0.028477439489391188,16.78857142857143,16.693400000000004
2014-03-21,2014,3,21,Friday,11,2014-11,17.9,18.1,17.65,17.72,4923000.0,16.34,-0.001127826298428336,16.749285714285715,16.706800000000005
2014-03-24,2014,3,24,Monday,12,2014-12,17.72,17.96,17.63,17.78,2740500.0,16.4,0.00338624874648219,16.681428571428572,16.720800000000004
