Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-03,2014,1,3,Friday,00,2014-00,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-06,2014,1,6,Monday,01,2014-01,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-07,2014,1,7,Tuesday,01,2014-01,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-08,2014,1,8,Wednesday,01,2014-01,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-09,2014,1,9,Thursday,01,2014-01,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-10,2014,1,10,Friday,01,2014-01,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-13,2014,1,13,Monday,02,2014-02,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-14,2014,1,14,Tuesday,02,2014-02,1.6,1.6,1.6,1.6,0.0,1.42,0.0,1.42,1.42
2014-01-15,2014,1,15,Wednesday,02,2014-02,4.0,4.0,4.0,4.0,100.0,3.54,1.5,1.6320000000000001,1.6320000000000001
2014-01-16,2014,1,16,Thursday,02,2014-02,3.0,3.0,3.0,3.0,400.0,2.65,-0.25000005053504826,1.7245454545454544,1.7245454545454544
2014-01-17,2014,1,17,Friday,02,2014-02,3.0,3.0,3.0,3.0,0.0,2.65,0.0,1.8016666666666665,1.8016666666666665
2014-01-21,2014,1,21,Tuesday,03,2014-03,3.0,3.0,3.0,3.0,0.0,2.65,0.0,1.8669230769230767,1.8669230769230767
2014-01-22,2014,1,22,Wednesday,03,2014-03,3.0,3.0,3.0,3.0,0.0,2.65,0.0,1.9228571428571424,1.9228571428571424
2014-01-23,2014,1,23,Thursday,03,2014-03,3.1,3.1,3.0,3.0,600.0,2.65,0.0,2.0107142857142852,1.971333333333333
2014-01-24,2014,1,24,Friday,03,2014-03,3.0,3.0,3.0,3.0,571.0,2.65,0.0,2.098571428571428,2.0137499999999995
2014-01-27,2014,1,27,Monday,04,2014-04,3.0,3.0,3.0,3.0,0.0,2.65,0.0,2.1864285714285705,2.051176470588235
2014-01-28,2014,1,28,Tuesday,04,2014-04,3.0,3.0,3.0,3.0,0.0,2.65,0.0,2.274285714285713,2.084444444444444
2014-01-29,2014,1,29,Wednesday,04,2014-04,3.0,3.0,3.0,3.0,0.0,2.65,0.0,2.3621428571428558,2.1142105263157887
2014-01-30,2014,1,30,Thursday,04,2014-04,3.0,3.0,3.0,3.0,100.0,2.65,0.0,2.4499999999999984,2.140999999999999
