Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,37.35,37.4,37.1,37.16,30632200.0,32.47,0.0,32.47,32.47
2014-01-03,2014,1,3,Friday,00,2014-00,37.2,37.22,36.6,36.91,31134800.0,32.25,-0.006727619800374174,32.36,32.36
2014-01-06,2014,1,6,Monday,01,2014-01,36.85,36.89,36.11,36.13,43603700.0,31.57,-0.021132635107740327,32.096666666666664,32.096666666666664
2014-01-07,2014,1,7,Tuesday,01,2014-01,36.33,36.49,36.21,36.41,35802800.0,31.82,0.007749858163942136,32.027499999999996,32.027499999999996
2014-01-08,2014,1,8,Wednesday,01,2014-01,36.0,36.14,35.58,35.76,59971700.0,31.25,-0.017851977607124203,31.871999999999996,31.871999999999996
2014-01-09,2014,1,9,Thursday,01,2014-01,35.88,35.91,35.4,35.53,36516300.0,31.05,-0.006431828495967351,31.735,31.735
2014-01-10,2014,1,10,Friday,01,2014-01,35.9,36.15,35.75,36.04,40548800.0,31.49,0.01435370220403609,31.7,31.7
2014-01-13,2014,1,13,Monday,02,2014-02,35.99,36.02,34.83,34.98,45901900.0,30.57,-0.029411688109623135,31.55875,31.55875
2014-01-14,2014,1,14,Tuesday,02,2014-02,34.73,35.88,34.63,35.78,41623300.0,31.27,0.02287020081056057,31.526666666666667,31.526666666666667
2014-01-15,2014,1,15,Wednesday,02,2014-02,35.9,36.79,35.85,36.76,44812600.0,32.12,0.027389592081898506,31.586000000000002,31.586000000000002
2014-01-16,2014,1,16,Thursday,02,2014-02,36.69,37.0,36.31,36.89,38018700.0,32.24,0.003536686366781172,31.645454545454548,31.645454545454548
2014-01-17,2014,1,17,Friday,02,2014-02,36.83,36.83,36.15,36.38,46267500.0,31.79,-0.013824889427983988,31.657500000000002,31.657500000000002
2014-01-21,2014,1,21,Tuesday,03,2014-03,36.82,36.82,36.06,36.17,31567300.0,31.61,-0.0057725702595274875,31.653846153846157,31.653846153846157
2014-01-22,2014,1,22,Wednesday,03,2014-03,36.26,36.32,35.75,35.93,21904300.0,31.4,-0.006635553063635058,31.63571428571429,31.63571428571429
2014-01-23,2014,1,23,Thursday,03,2014-03,36.09,36.13,35.52,36.06,43954000.0,31.51,0.003618446831375799,31.567142857142862,31.627333333333336
2014-01-24,2014,1,24,Friday,03,2014-03,37.45,37.55,36.53,36.81,76395500.0,32.17,0.020798955575962452,31.561428571428575,31.661250000000003
2014-01-27,2014,1,27,Monday,04,2014-04,36.87,36.89,35.98,36.03,44420800.0,31.48,-0.02119009953806017,31.555000000000007,31.650588235294123
2014-01-28,2014,1,28,Tuesday,04,2014-04,36.12,36.39,35.75,36.27,36205500.0,31.69,0.006661153770427308,31.545714285714293,31.652777777777786
2014-01-29,2014,1,29,Wednesday,04,2014-04,35.98,36.88,35.9,36.66,52745900.0,32.03,0.010752794296630563,31.601428571428578,31.672631578947374
2014-01-30,2014,1,30,Thursday,04,2014-04,36.79,36.88,36.23,36.86,35036300.0,32.21,0.005455428814352459,31.684285714285718,31.699500000000008
2014-01-31,2014,1,31,Friday,04,2014-04,36.95,37.89,36.56,37.84,93162300.0,33.07,0.02658683250305005,31.79714285714286,31.76476190476191
2014-02-03,2014,2,3,Monday,05,2014-05,37.74,37.99,36.43,36.48,64063100.0,31.88,-0.03594080472414074,31.89071428571429,31.770000000000007
2014-02-04,2014,2,4,Tuesday,05,2014-05,36.97,37.19,36.25,36.35,54697900.0,31.76,-0.0035632934996534527,31.92571428571429,31.76956521739131
2014-02-05,2014,2,5,Wednesday,05,2014-05,36.29,36.47,35.8,35.82,55814400.0,31.3,-0.014580784797971091,31.86714285714286,31.750000000000004
2014-02-06,2014,2,6,Thursday,05,2014-05,35.8,36.25,35.69,36.18,35351800.0,31.62,0.010050067222053816,31.822857142857146,31.744800000000005
2014-02-07,2014,2,7,Friday,05,2014-05,36.32,36.59,36.01,36.56,33260500.0,31.95,0.010503295714678007,31.834285714285716,31.752692307692314
2014-02-10,2014,2,10,Monday,06,2014-06,36.63,36.8,36.29,36.8,26767000.0,32.16,0.006564530258434731,31.87357142857143,31.767777777777784
2014-02-11,2014,2,11,Tuesday,06,2014-06,36.88,37.26,36.86,37.17,32141400.0,32.48,0.010054263723141776,31.95071428571429,31.793214285714292
2014-02-12,2014,2,12,Wednesday,06,2014-06,37.35,37.6,37.3,37.47,27051800.0,32.74,0.00807116133020891,32.03857142857144,31.825862068965524
2014-02-13,2014,2,13,Thursday,06,2014-06,37.33,37.86,37.33,37.61,37635500.0,32.86,0.0037361209073409896,32.087857142857146,31.86033333333334
