Item,label
Adjustment,unkown
Afternoon with the baker,unkown
Alfajores,food
Argentina Night,drink
Art Tray,unkown
Bacon,food
Baguette,food
Bakewell,unkown
Bare Popcorn,food
Basket,unkown
Bowl Nic Pitt,food
Bread,food
Bread Pudding,food
Brioche and salami,food
Brownie,food
Cake,food
Caramel bites,food
Cherry me Dried fruit,food
Chicken Stew,food
Chicken sand,food
Chimichurri Oil,food
Chocolates,food
Christmas common,food
Coffee,drink
Coffee granules ,food
Coke,drink
Cookies,food
Crepes,food
Crisps,food
Drinking chocolate spoons ,drink
Duck egg,food
Dulce de Leche,food
Eggs,food
Ella's Kitchen Pouches,unkown
Empanadas,food
Extra Salami or Feta,food
Fairy Doors,unkown
Farm House,food
Focaccia,food
Frittata,food
Fudge,food
Gift voucher,unkown
Gingerbread syrup,unkown
Granola,food
Hack the stack,unkown
Half slice Monster ,unkown
Hearty & Seasonal,unkown
Honey,unkown
Hot chocolate,drink
Jam,food
Jammie Dodgers,drink
Juice,drink
Keeping It Local,unkown
Kids biscuit,food
Lemon and coconut,food
Medialuna,food
Mighty Protein,drink
Mineral water,drink
Mortimer,drink
Muesli,food
Muffin,food
My-5 Fruit Shoot,food
NONE,unkown
Nomad bag,unkown
Olum & polenta,unkown
Panatone,unkown
Pastry,food
Pick and Mix Bowls,food
Pintxos,unkown
Polenta,unkown
Postcard,unkown
Raspberry shortbread sandwich,food
Raw bars,food
Salad,food
Sandwich,food
Scandinavian,food
Scone,food
Siblings,unkown
Smoothies,drink
Soup,drink
Spanish Brunch,food
Spread,food
Tacos/Fajita,food
Tartine,food
Tea,drink
The BART,unkown
The Nomad,food
Tiffin,food
Toast,food
Truffles,food
Tshirt,unkown
Valentine's card,unkown
Vegan Feast,food
Vegan mincepie,food
Victorian Sponge,food
